AAPL
MSFT
GOOG
GOOGL
AMZN
TSLA
FB
NVDA
TSM
BRK-A
BRK-B
JPM
V
HD
JNJ
BABA
UNH
WMT
BAC
PG
ASML
MA
ADBE
NFLX
CRM
PFE
DIS
NKE
NVO
TM
ORCL
XOM
TMO
LLY
RDS-A
RDS-B
KO
CMCSA
COST
ACN
AVGO
PYPL
PEP
CSCO
DHR
ABT
CVX
SHOP
VZ
QCOM
ABBV
MRK
INTC
INTU
WFC
MCD
AMD
NVS
UPS
TXN
AZN
MS
NEE
LOW
T
SE
LIN
SAP
MDT
SONY
UNP
SCHW
HON
RY
TMUS
JD
PM
BLK
AXP
AMAT
NOW
BHP
HDB
UL
TD
C
SBUX
BMY
GS
RTX
BBL
SNY
EL
PTR
BA
TTE
ABNB
ISRG
CVS
TGT
CHTR
DEO
HSBC
AMT
SNOW
AMGN
RIVN
SPGI
PLD
GE
CAT
TEAM
LFC
DE
ZTS
MRNA
BX
GSK
IBM
SQ
MMM
PDD
BUD
ADI
ANTM
SYK
ADP
INFY
RIO
BKNG
LMT
BAM
MU
COP
CNI
LRCX
GM
LCID
BP
SHW
COIN
USB
GILD
UBER
MMC
TJX
MDLZ
PNC
SNAP
CB
EQNR
TFC
ENB
CME
CSX
MO
BNS
CCI
BTI
NTES
RBLX
F
ITW
DUK
ICE
ZM
HCA
DASH
EW
MCO
MUFG
BDX
ABB
IBN
SNP
WDAY
EQIX
ADSK
BMO
BNTX
REGN
CI
MELI
WM
ETN
NET
RACE
ECL
FIS
APD
NSC
SO
FISV
AON
CL
FDX
COF
KLAC
LULU
PBR
NIO
PBR-A
DXCM
STLA
MRVL
RELX
UBS
DDOG
D
TRI
SAN
ILMN
NXPI
WBK
CRWD
BSX
PSA
AMX
VALE
JCI
AMOV
ING
FCX
FTNT
HUM
EMR
NOC
BIDU
IDXX
GD
SPG
XLNX
SNPS
U
MSCI
TEL
ALGN
PUK
TWLO
PGR
ROP
EXC
CM
DG
CDNS
PANW
CVNA
TTD
DOCU
INFO
MET
IQV
ZS
APH
VMW
MAR
EOG
CP
KDP
HMC
A
SPOT
CARR
CMG
WIT
ABEV
E
ATVI
NGG
CNQ
APTV
CPNG
BK
EPD
TROW
MNST
TRP
DLR
STM
VEEV
BCE
EBAY
TT
VRTX
SMFG
LYG
SCCO
CTAS
MCHP
KKR
AIG
BSBR
KMB
PAYX
NEM
TAK
STZ
BCS
KHC
RSG
LHX
PXD
CTSH
PLTR
ORLY
MSI
SIVB
CNC
SLB
DOW
PH
VOD
XPEV
DELL
DD
AEP
WBA
BBVA
O
ODFL
ALC
ROK
PRU
HLT
ROST
DIDI
MTCH
BAX
SRE
FRC
AZO
NTR
HUBS
TWTR
ITUB
AFRM
IFF
PPG
SYY
CRH
RMD
BIIB
MDB
EPAM
PHG
GIS
SBAC
TRV
MFC
EA
APP
ETSY
OKTA
YUM
MPC
VRSK
HSY
AFL
WELL
KMI
OTIS
SU
ADM
GPN
DHI
ERIC
HPQ
CPRT
ENPH
GOLD
KEYS
WCN
ZI
FERG
MTD
BBD
EFX
FAST
BF-B
BF-A
ANSS
XEL
TDG
CTVA
NDAQ
STT
BGNE
AJG
AVB
LEN-B
LEN
MCK
WMB
SGEN
DFS
AMP
NWG
BBY
CBRE
WST
GFS
AME
ALB
SLF
NOK
BILL
LI
APO
MFG
EQR
NUE
CSGP
GLW
ALL
CMI
ARE
PEG
ZBRA
CHT
AWK
ROKU
TU
IBKR
SWK
BLL
RKT
PSX
CHWY
KR
DLTR
HTHT
MPLX
PCAR
VFC
FITB
LYB
TSN
LBRDK
LVS
PINS
MT
ORAN
YNDX
WLTW
LBRDA
ES
UMC
W
WEC
WY
FTV
BEKE
PAYC
VLO
PCG
EC
LUV
KSU
ED
FNV
IT
DVN
GRMN
ZTO
GNRC
OKE
ZBH
VRSN
ON
OXY
URI
GMAB
LH
EXR
PATH
TLK
CDW
FMX
EXPE
SWKS
LNG
MPWR
TSCO
SYF
MLM
VMC
SIRI
MGA
BILI
PLUG
TTM
DB
DAL
DOV
LYV
ASAN
TEF
IR
NTRS
ABC
GWW
TOST
TER
CNHI
EIX
IX
CVE
INVH
HZNP
HOOD
AVTR
RYAAY
CCL
CAJ
PKI
KMX
IMO
RCI
HIG
CCEP
HES
ET
CS
STE
ICLR
XYL
MAA
HBAN
POOL
HRL
BIO
CHD
YUMC
WMG
SUI
TW
RF
ESS
TRU
TRMB
TYL
MKC
STX
DRE
ULTA
AEE
CUK
SPLK
VIAC
VIACA
EXPD
CTLT
KEY
ALNY
FOXA
FOX
DTE
RNG
CERN
WAT
PPL
FTS
ETR
GIB
CFG
K
CFLT
CG
AMC
FE
ENTG
TDY
MGM
VTR
PODD
CLX
RCL
XM
JBHT
CZR
SSNC
BR
MTB
BBWI
RJF
SBNY
DNA
COO
WPM
AGR
HAL
TECH
TTWO
CQP
BKR
DPZ
GPC
NTAP
AUR
SEDG
CRL
CINF
HOLX
DT
J
HEI-A
TCOM
HEI
HPE
PFG
TDOC
S
DRI
UI
FANG
KB
FLT
NICE
PEAK
IP
FMS
BXP
AMCR
BRO
DGX
NVR
OLPX
PBA
AVY
CE
AKAM
QSR
SQM
VICI
RPRX
IEX
WAB
DISH
PKX
BURL
CMS
JHX
LU
GME
WDC
ROL
MOH
BEN
CDAY
NUAN
UDR
FDS
WPP
PWR
ONON
BIP
LKQ
QRVO
CPT
MKL
UPST
BMRN
TXG
MASI
CNP
XP
ASX
TXT
ALLY
PPD
AES
MAS
CLR
ATH
SOFI
CTRA
ACGL
MNDY
LYFT
CAR
SHG
ESTC
WSM
GTLB
GDRX
VTRS
ACI
COUP
RGEN
VIV
TREX
ELS
BSY
ZNH
LBTYB
NDSN
ABMD
GRUB
CHKP
SNN
YMM
LBTYK
EMN
ELAN
AER
LBTYA
ARES
CAG
EVRG
WOLF
CLVT
PCTY
TFX
UAL
FNF
ELP
FBHS
KIM
SJR
DKNG
QS
ARGX
FTCH
UHAL
NLOK
NVAX
BZ
AAP
EXAS
WPC
CCK
NVEI
OTEX
ZG
Z
PTON
OMC
INCY
LNT
WRB
CGNX
WHR
L
IEP
FFIV
DOCN
TECK
CF
FND
MORN
MTN
FWONA
HAS
RH
CBOE
LOGI
PTC
MKTX
LUMN
CAH
IPG
IRM
SJM
BLDR
GFL
MOS
AMH
AEM
STLD
NMR
EQH
PHM
BG
FMC
NWS
TME
GGG
JLL
PNR
AOS
LPLA
RHI
AVLR
DISCK
SUZ
MPW
LDOS
MQ
HWM
TS
SC
CHRW
ACH
WRK
NWSA
BRKR
GLOB
STVN
TPR
PKG
QGEN
LNC
ATO
REG
WLK
CSL
AAL
CEA
DKS
RPM
WTRG
ENIA
TRGP
CPB
IHG
NLY
ICL
WAL
SKM
FIVE
HST
MHK
CNA
ALLE
KEP
BAH
DECK
WSO
MRO
AFG
DISCA
GDDY
LII
PCOR
AXON
UAA
ZEN
UA
RRX
BKI
SNA
GXO
DAR
LAMR
CMA
FSLR
EWBC
XRAY
IAC
DOCS
LSCC
CROX
HUBB
OPEN
JKHY
KL
KOF
ERIE
SCI
RUN
CUBE
IVZ
TTC
SITE
LEVI
CABO
LSI
BWA
HSIC
CLF
CONE
SNX
DLO
XLRN
GLPI
REXR
M
GRFS
ZION
NVCR
MANH
LEA
CTXS
WYNN
CACC
ACM
RE
AZPN
SYNH
JNPR
SSL
MIDD
GDS
BEP
RDY
UWMC
HRC
TTEK
GWRE
TFII
DVA
VRT
RS
TWKS
CCJ
FRSH
FIVN
FRT
TAP
GFI
NI
UHS
TEVA
ANET
GH
MMP
APA
SYNA
PEN
DBX
FICO
PAGS
PEGA
JEF
CNXC
VST
TPL
NWL
DAVA
AEG
OLN
OZON
ST
BAP
WIX
WB
SEE
G
AQN
BJ
KNX
SAIA
SBSW
SMG
CPRI
CIEN
BHC
WSC
BCH
AGL
EBR
GL
WFG
ARMK
H
WMS
TIXT
DOX
Y
GLBE
ALV
SLAB
STOR
UGI
CHDN
ARCC
INFA
AIZ
DLB
NTRA
FHN
CX
BLD
SEIC
GPS
MKSI
YETI
XPO
OVV
UTHR
NRG
JBL
RL
OC
ITT
AA
AGCO
LAD
BRKS
FLEX
BERY
CAE
GNTX
NTLA
IPGP
ARW
BSAC
OSH
CHPT
TNDM
LECO
AU
LSPD
WES
FSV
DISCB
KSS
TSP
COLD
ATR
BSMX
NCLH
FAF
BRZE
VNO
COTY
TPX
CBSH
CHH
CFR
AGNC
KGC
EGP
PVH
EVO
THC
FYBR
SMAR
LW
AIRC
PENN
NNN
DNB
MEDP
GIL
PLAN
KRNT
WH
NBIX
KRC
PLTK
RBA
WF
TOL
ASND
FUTU
WRBY
FR
ZLAB
PSXP
HLI
FCNCA
OGN
OMCL
DXC
MAT
LFUS
PSTG
EQT
JHG
CCCS
ORI
CFX
NYT
NEWR
CHE
EDR
FOXF
PNFP
AN
BC
OSK
SF
MRTX
PBCT
ATUS
CVAC
CYBR
BFAM
DSGX
AXTA
STAG
HTA
MP
FFIN
COR
PNW
AYI
RNR
NLSN
PAG
PLNT
MTZ
DCI
LEGN
STWD
ADT
GGB
TX
BHVN
AMPL
SKX
NTCO
MSTR
DDS
ACC
HII
ARWR
CIB
USFD
BOKF
MBT
DOOO
RKLB
JAZZ
BRX
CASY
RPD
CNM
WOOF
PII
OLED
PAA
VOYA
WK
CHK
PHI
NTNX
INSP
WWD
RGA
VAC
ZNGA
SPT
AMG
RCM
RLX
SNV
OGE
HUN
BL
SWAV
VICR
OHI
PPC
SRPT
TNET
RGLD
LAZR
AMBA
EME
WE
LPL
PB
WCC
GMED
IAA
IIVI
CZOO
WTS
NVST
ASAI
VIPS
ZIM
PFGC
INMD
MTTR
BEPC
COLM
ESLT
BMBL
BYD
BAK
NEP
WU
NXST
ASH
BPOP
HNP
X
ALK
GTLS
LITE
IIPR
SGMS
LSTR
EXP
ASGN
VVV
EXPO
ARVL
PAC
GBCI
PSO
POST
KBR
INGR
POWI
CIGI
BPMC
NEGG
CHNG
STN
OMF
HGV
AZEK
SHC
INOV
CACI
QDEL
GPK
HAYW
CRSP
COHR
AMEH
FSR
ALTR
BBIO
RVLV
REYN
TXRH
NVT
DEI
ALGM
SRAD
VRNS
ESI
AMKR
AMBP
LPX
PRI
GT
THO
EHC
BEAM
KT
MSA
WEX
CR
SON
ROLL
IS
MGP
NCNO
FSK
HBI
CBL
HELE
NATI
DCP
CLH
OZK
NOVT
CADE
OTLY
AVAL
BB
FVRR
SMTC
ASR
SHI
EXPI
SITM
STNE
TENB
APPS
AQUA
EVR
SI
PACB
VLY
IART
CUZ
TRNO
EEFT
TIMB
MDU
SRC
HOG
DNLI
NYCB
VNT
SIG
RYN
SAM
AR
EXEL
PACW
PYCR
SSB
FLO
DDL
SG
ZD
IGT
PAAS
OWL
MARA
FIZZ
AMN
TV
LEG
DADA
APG
TRUP
SRCL
ACHC
ORCC
HRI
AMED
MIME
UFPI
JBT
NSA
PRGO
AVNT
CRCT
GOOS
IDA
ROIV
APPN
TWST
CELH
ELY
IQ
VMI
TFSL
MXL
BCPC
TKR
RARE
SLM
NFE
IONQ
MAN
NCR
NFG
PGNY
RRC
SPSC
IMAB
CERE
FATE
QLYS
MTSI
STAA
AWI
HCM
SAIL
HASI
SPWR
IRDM
AB
WING
WTFC
FL
BE
DRVN
UPWK
